X: 4095 | Y: 1065 | Direction: R | Button: 0
X: 4095 | Y: 1843 | Direction: R | Button: 0
X: 4095 | Y: 1837 | Direction: R | Button: 0
X: 4095 | Y: 1815 | Direction: R | Button: 1
X: 4095 | Y: 1849 | Direction: R | Button: 1
X: 2131 | Y: 1851 | Direction: R | Button: 1
X: 1869 | Y: 1851 | Direction: N | Button: 0
X: 1867 | Y: 1851 | Direction: N | Button: 0
X: 1877 | Y: 2009 | Direction: N | Button: 0
X: 4095 | Y: 2544 | Direction: BR | Button: 1
X: 4095 | Y: 2787 | Direction: BR | Button: 1
X: 4095 | Y: 3247 | Direction: BR | Button: 1
X: 4095 | Y: 3352 | Direction: BR | Button: 1
X: 4095 | Y: 3352 | Direction: BR | Button: 1
X: 4095 | Y: 3356 | Direction: BR | Button: 1
X: 4095 | Y: 3499 | Direction: BR | Button: 1
X: 4095 | Y: 3493 | Direction: BR | Button: 1
X: 4095 | Y: 3479 | Direction: BR | Button: 0
X: 4095 | Y: 3495 | Direction: BR | Button: 0
X: 4095 | Y: 3434 | Direction: BR | Button: 1
X: 4095 | Y: 4095 | Direction: BR | Button: 1
X: 2207 | Y: 4095 | Direction: BR | Button: 1
X: 1855 | Y: 4095 | Direction: B | Button: 1
X: 1549 | Y: 4095 | Direction: B | Button: 1
X: 766 | Y: 4095 | Direction: B | Button: 1
X: 493 | Y: 4095 | Direction: BL | Button: 1
X: 347 | Y: 4095 | Direction: BL | Button: 1
X: 91 | Y: 4095 | Direction: BL | Button: 1
X: 0 | Y: 4095 | Direction: BL | Button: 1
X: 0 | Y: 4095 | Direction: BL | Button: 1
X: 0 | Y: 4095 | Direction: BL | Button: 1
X: 0 | Y: 4095 | Direction: BL | Button: 1
X: 17 | Y: 4095 | Direction: BL | Button: 1
X: 406 | Y: 4095 | Direction: BL | Button: 1
X: 1080 | Y: 4095 | Direction: B | Button: 1
X: 1877 | Y: 1849 | Direction: N | Button: 1
X: 1867 | Y: 1847 | Direction: N | Button: 1
X: 1682 | Y: 1851 | Direction: N | Button: 1
X: 1839 | Y: 1849 | Direction: N | Button: 1
X: 1675 | Y: 1848 | Direction: N | Button: 0
X: 1035 | Y: 1849 | Direction: N | Button: 0
X: 989 | Y: 1577 | Direction: L | Button: 1
X: 1867 | Y: 794 | Direction: N | Button: 1
X: 1405 | Y: 0 | Direction: F | Button: 1
X: 280 | Y: 0 | Direction: FL | Button: 1
X: 431 | Y: 0 | Direction: FL | Button: 1
X: 442 | Y: 0 | Direction: FL | Button: 1
X: 317 | Y: 0 | Direction: FL | Button: 1
X: 233 | Y: 7 | Direction: FL | Button: 0
X: 0 | Y: 0 | Direction: FL | Button: 0
X: 0 | Y: 0 | Direction: FL | Button: 1
X: 1251 | Y: 133 | Direction: F | Button: 1
X: 1871 | Y: 225 | Direction: F | Button: 1
X: 1868 | Y: 777 | Direction: N | Button: 1
X: 1867 | Y: 775 | Direction: N | Button: 0
X: 1867 | Y: 777 | Direction: N | Button: 0
X: 1867 | Y: 775 | Direction: N | Button: 1
X: 1883 | Y: 1459 | Direction: N | Button: 1
X: 1870 | Y: 1849 | Direction: N | Button: 1
X: 1869 | Y: 1849 | Direction: N | Button: 1
X: 1867 | Y: 1849 | Direction: N | Button: 1
X: 1867 | Y: 1849 | Direction: N | Button: 1
X: 1867 | Y: 1849 | Direction: N | Button: 1
X: 1869 | Y: 1848 | Direction: N | Button: 1
X: 1865 | Y: 1849 | Direction: N | Button: 1
X: 1867 | Y: 1851 | Direction: N | Button: 1
X: 1866 | Y: 1849 | Direction: N | Button: 1
X: 1867 | Y: 1850 | Direction: N | Button: 1
X: 1865 | Y: 1849 | Direction: N | Button: 1
X: 1868 | Y: 1849 | Direction: N | Button: 1
X: 1869 | Y: 1849 | Direction: N | Button: 1
X: 1863 | Y: 1849 | Direction: N | Button: 1

